Training console diary: C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260709_065958_td3_mathworks_style_pi_current_1c_500hz_capture_tune_from_scratch7000\training_console.log
Starting parallel pool (parpool) using the 'Processes' profile ...
Preserving jobs with IDs: 1 8 because they contain crash dump files.
You can use 'delete(myCluster.Jobs)' to remove all jobs created with profile Processes. To create 'myCluster' use 'myCluster = parcluster('Processes')'.
Connected to parallel pool with 22 workers.
Episode: 162/2000 | Episode reward:    24.93 | Episode steps:  111 | Average reward:    38.91 | Step Count: 241343 | Episode Q0:    41.94
Episode: 163/2000 | Episode reward:    88.53 | Episode steps:  213 | Average reward:    44.35 | Step Count: 241556 | Episode Q0:    41.94
Episode: 164/2000 | Episode reward:    28.68 | Episode steps:  217 | Average reward:    43.09 | Step Count: 241773 | Episode Q0:    41.94
Episode: 165/2000 | Episode reward:   -18.71 | Episode steps:  159 | Average reward:    37.72 | Step Count: 241932 | Episode Q0:    41.94
Episode: 166/2000 | Episode reward:    20.56 | Episode steps:   95 | Average reward:    37.26 | Step Count: 242027 | Episode Q0:    41.94
Episode: 167/2000 | Episode reward:     3.08 | Episode steps:  132 | Average reward:    35.27 | Step Count: 242159 | Episode Q0:    41.94
Episode: 168/2000 | Episode reward:    72.35 | Episode steps:  214 | Average reward:    39.27 | Step Count: 242373 | Episode Q0:    41.94
Episode: 169/2000 | Episode reward:    27.57 | Episode steps:  140 | Average reward:    30.29 | Step Count: 242513 | Episode Q0:    41.94
Episode: 170/2000 | Episode reward:     5.87 | Episode steps:  226 | Average reward:    29.87 | Step Count: 242739 | Episode Q0:    41.94
Episode: 171/2000 | Episode reward:   103.41 | Episode steps:  281 | Average reward:    35.63 | Step Count: 243020 | Episode Q0:    41.94
Episode: 172/2000 | Episode reward:   119.06 | Episode steps:  295 | Average reward:    45.04 | Step Count: 243315 | Episode Q0:    41.94
Episode: 173/2000 | Episode reward:    90.64 | Episode steps:  261 | Average reward:    45.25 | Step Count: 243576 | Episode Q0:    41.94
Episode: 174/2000 | Episode reward:   276.93 | Episode steps:  363 | Average reward:    70.08 | Step Count: 243939 | Episode Q0:    41.94
Episode: 175/2000 | Episode reward:     3.72 | Episode steps:  214 | Average reward:    72.32 | Step Count: 244153 | Episode Q0:    41.94
Episode: 176/2000 | Episode reward:    79.55 | Episode steps:  215 | Average reward:    78.22 | Step Count: 244368 | Episode Q0:    41.94
Episode: 177/2000 | Episode reward:    16.98 | Episode steps:  100 | Average reward:    79.61 | Step Count: 244468 | Episode Q0:    41.94
Episode: 178/2000 | Episode reward:    11.25 | Episode steps:  186 | Average reward:    73.50 | Step Count: 244654 | Episode Q0:    41.94
